keyword,iri,label,confidence
Ontology annotation,http://edamontology.org/operation_0226,Annotation,MEDIUM
Ontology annotation,,,
semantic annotation,,,
semantic annotation,http://edamontology.org/operation_3778,Text annotation,MEDIUM
Text mining,,,
Entity tagging,,,
Entity recognition,,,
Query expansion,,,
Query expansion,,,
Named-entity and concept recognition,http://edamontology.org/operation_3280,,
ontology and terminology,,,
text annotation,,,
Free text mapping,,,
ontology and terminology,http://edamontology.org/topic_0089,ontology and terminology,MANUAL
entity recognition,http://edamontology.org/operation_3280,Named-entity and concept recognition,MANUAL
semantic enrichment,,,
